                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9861,                 2.5473,                 1.2657,                0.66399,                0.64296,                0.67165,                0.45468,                 1.0337,                 1.5073,                 1.2585,              0.0033301,              0.0033301,              0.0033301
                      1,                 1.0871,                 1.9216,                 1.3396,                0.53504,                0.53127,                0.51622,                0.31957,                 1.2187,                 1.8083,                 1.4284,              0.0065975,              0.0065975,              0.0065975
                      2,                 1.2044,                 2.0857,                 1.4336,                0.45718,                0.41137,                 0.3915,                0.22768,                 1.3715,                 1.9598,                 1.5584,              0.0097988,              0.0097988,              0.0097988
                      3,                 1.2915,                 2.1351,                 1.5075,                0.52751,                0.45509,                0.45183,                 0.2667,                 1.3797,                 1.8469,                 1.5778,               0.009703,               0.009703,               0.009703
                      4,                  1.251,                 1.9563,                 1.4819,                0.53373,                0.46136,                0.46435,                0.27715,                 1.3528,                 1.8058,                 1.5954,               0.009703,               0.009703,               0.009703
                      5,                 1.2136,                 1.8245,                 1.4544,                0.59215,                0.50228,                0.53337,                 0.3371,                 1.2451,                 1.5636,                 1.4629,               0.009604,               0.009604,               0.009604
                      6,                   1.18,                 1.7247,                 1.4267,                0.62759,                0.52415,                0.56669,                0.36428,                 1.2073,                 1.4762,                 1.4416,               0.009505,               0.009505,               0.009505
                      7,                 1.1624,                 1.6646,                 1.4177,                0.65658,                0.57691,                0.62205,                0.40426,                 1.1872,                  1.362,                 1.4134,               0.009406,               0.009406,               0.009406
                      8,                 1.1418,                 1.6121,                 1.4007,                 0.6929,                0.57695,                0.65194,                0.42876,                 1.1607,                 1.3011,                 1.3853,               0.009307,               0.009307,               0.009307
                      9,                 1.1294,                  1.578,                 1.3912,                0.67966,                0.59306,                0.65016,                0.43132,                 1.1446,                 1.2798,                 1.3755,               0.009208,               0.009208,               0.009208
                     10,                 1.1155,                 1.5292,                 1.3792,                0.68916,                 0.6127,                0.66852,                0.45006,                 1.1234,                 1.2536,                 1.3614,               0.009109,               0.009109,               0.009109
                     11,                 1.0989,                 1.4902,                 1.3681,                 0.6911,                0.63265,                0.69104,                0.46686,                  1.101,                  1.184,                  1.342,                0.00901,                0.00901,                0.00901
                     12,                  1.089,                  1.474,                  1.362,                0.72758,                0.62053,                0.69492,                0.47392,                 1.0931,                 1.1875,                 1.3369,               0.008911,               0.008911,               0.008911
                     13,                 1.0857,                 1.4496,                 1.3561,                0.70925,                0.63893,                0.70849,                0.48669,                 1.0769,                 1.1425,                 1.3174,               0.008812,               0.008812,               0.008812
                     14,                  1.071,                 1.4186,                  1.346,                0.72788,                0.64792,                0.71898,                0.49793,                 1.0632,                 1.1048,                  1.304,               0.008713,               0.008713,               0.008713
                     15,                 1.0625,                 1.3951,                 1.3372,                0.72978,                0.64651,                0.71969,                0.50372,                   1.05,                 1.0814,                 1.2934,               0.008614,               0.008614,               0.008614
                     16,                 1.0504,                 1.3749,                 1.3348,                0.75481,                0.65744,                0.73612,                0.51269,                 1.0474,                 1.0583,                 1.2925,               0.008515,               0.008515,               0.008515
                     17,                 1.0423,                 1.3609,                  1.325,                0.75533,                 0.6567,                0.74598,                0.52429,                 1.0361,                 1.0459,                 1.2788,               0.008416,               0.008416,               0.008416
                     18,                  1.034,                 1.3365,                 1.3185,                0.75834,                0.65916,                0.74518,                 0.5265,                 1.0307,                 1.0412,                 1.2724,               0.008317,               0.008317,               0.008317
                     19,                 1.0332,                 1.3357,                   1.32,                 0.7459,                0.68276,                0.74901,                0.53015,                 1.0218,                  1.018,                 1.2664,               0.008218,               0.008218,               0.008218
                     20,                 1.0277,                 1.3128,                 1.3178,                0.76213,                0.67343,                0.75702,                0.53835,                 1.0161,                0.99606,                 1.2656,               0.008119,               0.008119,               0.008119
                     21,                 1.0222,                 1.2988,                 1.3095,                0.76336,                 0.6875,                0.76328,                 0.5443,                 1.0052,                0.99205,                 1.2585,                0.00802,                0.00802,                0.00802
                     22,                 1.0162,                 1.2802,                  1.305,                0.77615,                0.68525,                0.76918,                0.54907,                 1.0007,                0.97813,                 1.2469,               0.007921,               0.007921,               0.007921
                     23,                  1.011,                  1.279,                 1.3038,                0.77641,                0.68452,                0.77314,                0.55671,                0.98909,                0.96698,                 1.2428,               0.007822,               0.007822,               0.007822
                     24,                 1.0093,                  1.268,                 1.2998,                0.76807,                0.68936,                 0.7769,                0.56036,                0.98417,                0.95142,                 1.2352,               0.007723,               0.007723,               0.007723
                     25,                  1.005,                 1.2528,                 1.2944,                0.77344,                0.69621,                0.77701,                0.55838,                0.98043,                0.95104,                   1.23,               0.007624,               0.007624,               0.007624
                     26,                0.99745,                 1.2462,                  1.292,                0.77864,                0.70253,                0.78122,                0.56604,                0.98026,                0.93547,                   1.23,               0.007525,               0.007525,               0.007525
                     27,                0.99294,                 1.2221,                 1.2856,                0.79037,                0.69944,                0.79056,                0.57272,                0.97652,                0.92844,                  1.227,               0.007426,               0.007426,               0.007426
                     28,                  1.001,                 1.2347,                 1.2913,                0.78817,                0.70187,                0.78781,                0.57497,                0.96621,                0.92472,                 1.2194,               0.007327,               0.007327,               0.007327
                     29,                  0.986,                 1.2061,                 1.2779,                0.78081,                0.71697,                0.79325,                0.57814,                0.96269,                0.91318,                 1.2148,               0.007228,               0.007228,               0.007228
                     30,                0.98514,                 1.2042,                  1.281,                0.78101,                0.71741,                0.79414,                0.57925,                0.95897,                0.90861,                 1.2122,               0.007129,               0.007129,               0.007129
                     31,                0.97972,                 1.1973,                 1.2769,                0.78209,                0.71876,                 0.8027,                  0.588,                0.95582,                 0.8938,                 1.2136,                0.00703,                0.00703,                0.00703
                     32,                0.97551,                 1.1875,                   1.27,                0.79095,                0.71336,                0.80001,                0.58787,                0.95355,                0.88836,                 1.2093,               0.006931,               0.006931,               0.006931
                     33,                0.97265,                 1.1833,                 1.2708,                0.78594,                0.72349,                0.80211,                0.58613,                0.95751,                0.88094,                 1.2089,               0.006832,               0.006832,               0.006832
                     34,                0.96965,                 1.1751,                   1.27,                 0.7937,                0.72309,                0.80279,                0.58973,                0.95248,                0.88148,                 1.2049,               0.006733,               0.006733,               0.006733
                     35,                0.96265,                 1.1621,                 1.2658,                0.79598,                0.72442,                0.80666,                0.59206,                0.94922,                0.87033,                 1.2042,               0.006634,               0.006634,               0.006634
                     36,                0.96546,                 1.1575,                 1.2658,                0.80063,                0.72501,                0.81029,                 0.5953,                0.94646,                0.86911,                 1.2009,               0.006535,               0.006535,               0.006535
                     37,                0.95748,                 1.1438,                 1.2606,                0.80569,                0.72217,                0.81001,                0.59511,                 0.9392,                 0.8577,                 1.1954,               0.006436,               0.006436,               0.006436
                     38,                0.94921,                   1.14,                 1.2556,                0.80327,                0.71935,                0.80952,                 0.5965,                0.93854,                0.85544,                 1.1941,               0.006337,               0.006337,               0.006337
                     39,                0.95196,                  1.133,                 1.2588,                0.79838,                0.72952,                 0.8127,                0.60023,                0.94054,                0.84913,                 1.1939,               0.006238,               0.006238,               0.006238
                     40,                0.94852,                 1.1284,                 1.2552,                0.80365,                0.73163,                0.81428,                0.60303,                0.93419,                0.84645,                 1.1898,               0.006139,               0.006139,               0.006139
                     41,                0.94665,                 1.1187,                 1.2537,                0.79507,                0.73319,                0.81458,                0.60326,                0.93382,                0.84168,                 1.1885,                0.00604,                0.00604,                0.00604
                     42,                0.94298,                 1.1141,                 1.2476,                0.80339,                0.73084,                0.81508,                0.60305,                0.93079,                 0.8392,                 1.1872,               0.005941,               0.005941,               0.005941
                     43,                0.93937,                 1.1114,                 1.2489,                0.80278,                 0.7351,                0.81725,                0.60618,                0.92906,                0.83431,                 1.1838,               0.005842,               0.005842,               0.005842
                     44,                0.93786,                 1.0982,                 1.2446,                0.79804,                0.74357,                0.82034,                0.60942,                0.92635,                0.83096,                 1.1825,               0.005743,               0.005743,               0.005743
                     45,                0.92811,                 1.0954,                 1.2412,                0.79943,                0.74109,                0.82002,                0.61095,                0.92481,                0.82987,                 1.1806,               0.005644,               0.005644,               0.005644
                     46,                0.93681,                 1.0948,                 1.2426,                0.81289,                0.72703,                0.82077,                0.61143,                0.92265,                0.82437,                 1.1794,               0.005545,               0.005545,               0.005545
                     47,                0.93203,                 1.0799,                 1.2363,                0.79713,                0.74274,                0.82248,                0.61328,                0.92071,                 0.8207,                 1.1783,               0.005446,               0.005446,               0.005446
                     48,                0.92604,                 1.0721,                 1.2365,                0.80104,                0.73793,                0.82223,                0.61379,                0.92102,                0.81832,                 1.1788,               0.005347,               0.005347,               0.005347
                     49,                0.92214,                 1.0591,                 1.2338,                 0.7999,                0.74047,                0.82257,                0.61378,                0.91977,                 0.8171,                 1.1772,               0.005248,               0.005248,               0.005248
                     50,                0.92061,                 1.0616,                 1.2321,                 0.7899,                0.75158,                 0.8236,                0.61463,                0.91938,                0.81367,                 1.1774,               0.005149,               0.005149,               0.005149
                     51,                0.91409,                 1.0572,                 1.2309,                 0.8068,                0.74349,                0.82513,                0.61559,                0.91949,                 0.8112,                 1.1767,                0.00505,                0.00505,                0.00505
                     52,                0.91507,                 1.0497,                 1.2249,                0.80637,                0.74223,                 0.8254,                0.61603,                0.91979,                0.80937,                 1.1764,               0.004951,               0.004951,               0.004951
                     53,                 0.9071,                 1.0378,                 1.2236,                0.81019,                0.74346,                0.82576,                0.61827,                0.91914,                0.80744,                 1.1759,               0.004852,               0.004852,               0.004852
                     54,                0.90704,                 1.0415,                 1.2262,                0.81584,                 0.7387,                0.82646,                0.61852,                0.91782,                0.80639,                 1.1749,               0.004753,               0.004753,               0.004753
                     55,                0.90907,                 1.0346,                 1.2236,                0.82205,                0.73446,                0.82723,                0.61976,                0.91671,                0.80458,                 1.1737,               0.004654,               0.004654,               0.004654
